    ID |    NAME       |  RA   |  DEC  |  MAJOR_DIAMETER | TYPE | SPECTRAL_INDEX|  ALT_NAMES         |       CLASS     | DUMMY
     82|SNR G342.1+00.9|252.679|-43.067|          10.0|S   |              |                          |        SNR SHELL|
     83|SNR G260.4-03.4|125.542|-43.000|          60.0|S   |          0.50|PUPPIS A, MSH 08-44       |        SNR SHELL|
     84|SNR G327.6+14.6|225.708|-41.933|          30.0|S   |          0.60|SN1006, PKS 1459-41       |        SNR SHELL|
     85|SNR G344.7-00.1|255.963|-41.700|           8.0|C?  |          0.30|                          |    SNR COMPOSITE|
     86|SNR G345.7-00.2|256.833|-40.883|           6.0|S   |              |                          |        SNR SHELL|
     87|SNR G346.6-00.2|257.579|-40.183|           8.0|S   |          0.50|                          |        SNR SHELL|
     88|SNR G330.0+15.0|227.500|-40.000|         180.0|S   |          0.50|LUPUS LOOP                |        SNR SHELL|
     89|SNR G347.3-00.5|258.458|-39.750|          65.0|S?  |              |RX J1713.7-3946           |        SNR SHELL|
     90|SNR G261.9+05.5|136.083|-38.700|          40.0|S   |          0.40|                          |        SNR SHELL|
     91|SNR G348.5+00.1|258.525|-38.533|          15.0|S   |          0.30|CTB 37A                   |        SNR SHELL|
     92|SNR G350.0-02.0|261.958|-38.533|          45.0|S   |          0.40|                          |        SNR SHELL|
     93|SNR G348.5-00.0|258.858|-38.467|          10.0|S?  |          0.40|                          |        SNR SHELL|
     94|SNR G348.7+00.3|258.479|-38.183|          17.0|S   |          0.30|CTB 37B                   |        SNR SHELL|
     95|SNR G349.2-00.1|259.312|-38.067|           9.0|S   |              |                          |        SNR SHELL|
     96|SNR G349.7+00.2|259.496|-37.433|           2.5|S   |          0.50|                          |        SNR SHELL|
     97|SNR G350.1-00.3|260.280|-37.450|           4.0|?   |          0.80|                          |              SNR|
     98|SNR G351.9-00.9|262.217|-36.267|          12.0|S   |              |                          |        SNR SHELL|
     99|SNR G351.2+00.1|260.613|-36.183|           7.0|C?  |          0.40|                          |    SNR COMPOSITE|
    100|SNR G351.7+00.8|260.250|-35.450|          18.0|S   |          0.50|                          |        SNR SHELL|
